"","ecEp.stem.cell","ecEp.nb.pd.","ecEp.nem.id.","ecEp.basal.disk","ecEp.head","ecEp.battery.cell1.mp.","ecEp.battery.cell2.mp.","enEp.stem.cell","enEp.nb.pd.","enEp.nem.pd.","enEp.tent.nem.pd.","enEp.foot","enEp.head","enEp.tentacle","i.stem.cell.progenitor","i.nematocyte","i.nb1","i.nb2","i.nb3","i.nb4","i.nb5","i.granular.mucous.gland.cell","i.spumous.mucous.gland.cell","i.zymogen.gland.cell","i.male.germline","i.female.germline1","i.female.germline2.nurse","i.neuron.gland.cell.progenitor","i.neuron.progenitor","i.neuron.ec1","i.neuron.ec2","i.neuron.ec3","i.neuron.ec4","i.neuron.ec5","i.neuron.en1","i.neuron.en2","i.neuron.en3","db"
"t9221aep-OPN3-HUMAN",0.00182821582110081,0.000994424177267514,0.00755881607593119,0.00171582858735146,0.00399023112761875,0.00249787680471599,0,0.00113168739530636,0,0.00722840531981718,0,0.00193023734800991,0,0.000640482872847497,0,0,0.00323126624923015,0,0,0,0.041188900093695,0.00266664712405638,0.0067020849516076,0,0,0,0.00162057901991918,0.11473984352826,0.260484867332564,0.0718640635066006,0.0224004300882577,0.0753630208468488,0.151879506174043,0.0922012223827535,0.116144578124959,0.464310129953179,0.271699807198145,0.0427031384709776
"t4885aep-OPN5-MOUSE",0.000112762983575034,0,0.00156776819104949,0.00169142919000839,0,0,0,9.18983769368157e-05,0,0,0,0,0,0,0.000818515752295564,0,0,0,0,0,0,0.00798977309044423,0,0,0,0,0.000701653741736974,0,0,0,0,0.0435764025065147,0,0,0,0,0,0
"t15588aep-OPN3-HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000153349078705571,0,0,0.00191828416387364,0,0,0,0,0.0044379019907097,0.00349217325777728,0,0.000501184373853071,0,0,0.00518861659029023,0.00892893815281699,0,0.0354376191589944,0,0,0.0117824627467984,0,0.039441663807146,0
"t27882aep-OPN3-HUMAN",0.000829103839030192,0.00360951432833664,0,0,0,0,0,0.000449213343909432,0,0.00130322891906675,0,0.00149258511315534,0,0,0,0.00313066012234712,0.000559499091653225,0.00220208440501441,0,0,0,0.0956890636881323,0.153122949256117,0.0600691581387688,0,0.0035373862818745,0,0.0584342504927086,0.0113946089825981,0,0,0.172570228955286,0,0,0.0569100157497741,0,0.752373325512017,0.0134409954383174
"t33805aep-OPN4B-XENLA",0.00269310254119592,0.000810416394589473,0.00156680045988562,0,0.00516446983142679,0,0.00358162242174714,0.00385562377754921,0,0.00610621246452035,0,0.00308144284156709,0.00280916337382478,0.00538182428774246,0.000232899206882712,0,0,0.00750079489453381,0,0,0.00109135372826078,0,0,0,0,0,0,0.00345060501664396,0.0134590918030622,0.264604907234764,0.0306980113828226,0.545863457254126,0.0792176305897097,0,0.0175228015455111,0.0122903723368299,0,0
"t3337aep",0.00137676302437562,0.00116108074042338,0,0,0,0,0,0.000500965256800786,0,0,0,0.00202650999312608,0,0,0,0,0,0,0.00693455307498887,0,0,0.00536250536250536,0,0,0,0.00039326035129082,0,0,0,0.00320866596503838,0,0.136476801599023,0,0,0,0,0,0
"t36346aep-OPN3-MOUSE",0.00649057507055877,0.00588832167651911,0.00326102270181169,0.0165442704954062,0.0241135157118107,0.00338363673276037,0.0143031195739918,0.00186597802707019,0.00728514115325242,0.00928359245367094,0,0.0096841739478511,0.004698484659094,0.00120377445889134,0.000179360332181075,0.0268977860062728,0.00429043130847858,0.00212966054914575,0,0,0,0.018544264058741,0.0255294000228885,0.00436337076970329,0.0100441658289174,0.000832091644576714,0,0.00577485451391742,0.00465987350307389,0.996561222766564,0.0486701379121591,0.371543196834045,0.0437026645514577,0,0.336030456721013,0.514872460600691,0.185449106563646,0.0746748058128483
"t33516aep-OPSD2-MIZYE",0,0,0,0,0,0,0,0,0,0,0,0.00071564359689342,0,0,0.00609610636571169,0,0,0,0,0,0,0,0,0,0,0,0,0.0248826555460102,0.0254692550922169,0.0038365123953879,0,0.0702196435643205,0,0,0.0185541493571915,0,0,0
"t33517aep-OPSD2-MIZYE",0.00378927109223011,0.00290259897287802,0.00158404800299068,0,0.00186013134039021,0,0.000680261742950312,0,0,0,0,0,0.00569194413610343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046062966032497,0,0,0,0,0.0885896235531345,0,0,0
"t4602aep",0.000261420461689432,0.00578017686739994,0.00677215619019987,0,0,0.00197441162533565,0.0112844463803528,0.00334028284376992,0.00599260811781703,0.0128139182310915,0.0115880226198202,0.0464049807252386,0,0.0121295211905106,0.00100737834118434,0.0496763074880248,0.00651762169377346,0,0.0164952807001917,0.0773512514100408,0.42851039126008,0,0,0,0,0,0,0,0,0.00980801785843891,0,0.0437158469945355,0,0.0690586419753086,0.0108923918821182,0,0,0
